Role,Location,Min Salary,Max Salary,Recruiter,Salary_Text,Description
Veterinary Surgeon,"Chard, Somerset",2500,65000,Kingfisher Veterinary Practice - Chard,"Salary up to £65,000 depending on experience, plus relocation allowance of £2,500",We are looking for a Veterinary Surgeon to join our first opinion small animal practice in the beautiful Somerset countryside.
Practice Ownership,"Staines, Surrey",,,Vets for Pets,Competitive Salary,"Owning a practice with Vets for Pets is a true partnership, with dedicated departments on hand to support you in all aspects of business."
Practice Ownership,"Banbury, Oxfordshire",,,Vets for Pets,Competitive Salary,"Owning a practice with Vets for Pets is a true partnership, with dedicated departments on hand to support you in all aspects of business."
Practice Ownership,Llantrisant,,,Vets for Pets,Competitive Salary,"Owning a practice with Vets for Pets is a true partnership, with dedicated departments on hand to support you in all aspects of business."
Practice Ownership,"Chippenham, Wiltshire",,,Vets for Pets,Competitive Salary,"Owning a practice with Vets for Pets is a true partnership, with dedicated departments on hand to support you in all aspects of business."
Practice Ownership,"Bicester, Oxfordshire",,,Vets for Pets,Competitive Salary,"Owning a practice with Vets for Pets is a true partnership, with dedicated departments on hand to support you in all aspects of business."
Practice Ownership,"Chatham, Kent",,,Vets for Pets,Competitive Salary,Chatham Vets for Pets is currently looking for a new owner! The successful practice opened in 2011 and has continued to grow over the last 10 years.
Practice Ownership,"Bolton, Greater Manchester",,,Vets for Pets,Competitive Salary,Practice Ownership with Vets for Pets – Run your practice your way without restrictions on service and suppliers.
Practice Ownership,"Wallasey, Merseyside",,,Vets for Pets,Competitive Salary,Practice Ownership with Vets for Pets – Run your practice your way without restrictions on service and suppliers.
Practice Ownership,"Bearsden, Glasgow",,,Vets for Pets,Competitive Salary,Vets for Pets Joint Venture Partnership model is an achievable route to veterinary practice ownership.
Practice Ownership,"Kendal, Cumbria",,,Vets for Pets,Competitive Salary,Vets for Pets are looking for a clinician or group of clinicians to buy Vets for Pets Kendal.
Practice Ownership,"Bradford, West Yorkshire",,,Vets for Pets,Competitive Salary,Are you an experienced clinician but would like support with the commercial side that comes with owning a veterinary practice?
Practice Ownership,"Hemsworth, Pontefract",,,Vets for Pets,Competitive Salary,At Vets for Pets we have a unique offering that makes practice ownership a reality.
Practice Ownership,"Selby, North Yorkshire",,,Vets for Pets,Competitive Salary,At Vets for Pets we have a unique offering that makes practice ownership a reality.
Practice Ownership,"Market Harborough, Leicestershire",,,Vets for Pets,Competitive Salary,At Vets for Pets we have a unique offering that makes practice ownership a reality.
Practice Ownership,"Bishop's Stortford, Hertfordshire",,,Vets for Pets,Competitive Salary,At Vets for Pets we have a unique offering that makes practice ownership a reality.
Veterinary Surgeon,"Bungay, Norfolk",63000,63000,Wherry Vets,"Salary up to £63,000 depending on experience",Are you searching for your next dream job? Look no further!
Veterinary Surgeon,"Fakenham, Norfolk",63000,63000,Summerhill Veterinary Centre,"Salary up to £63,000 FTE depending on experience",Summerhill Veterinary Centre are on the lookout for a Veterinary Surgeon to join their team.
Veterinary Surgeon,"Leicester, Leicestershire",63000,63000,"Bell, Brown & Bentley Veterinary Surgeons","Salary up to £63,000 depending on experience","Bell, Brown & Bentley Veterinary Surgeons are on the lookout for a veterinary surgeon to join their team."
Veterinary Surgeon,"Dartford, Kent",75000,75000,Easipetcare Dartford,"Salary up to £75,000 per annum depending on experience",We have a great opportunity for a veterinary surgeon to work at easipetcare Dartford.
Veterinary Surgeon,"Highgate, London (Greater)",63000,63000,Highgate Veterinary Clinic,"Salary up to £63,000 depending on experience","This role is ideal for an enthusiastic individual who is looking to be part of a caring, fun and dedicated team."
Veterinary Surgeon,"Dowlais, Merthyr Tydfil",75000,75000,Victoria Veterinary Practice,"Salary up to £75,000 depending on experience",We are looking for an enthusiastic and committed Veterinary Surgeon who is dedicated to providing excellent patient care.
Veterinary Surgeon,"Hereford, Herefordshire",75000,75000,The Laurels Vet Centre - Hereford,"Salary up to £75,000 per annum depending on experience",We are looking for an enthusiastic and committed veterinary surgeon to join our friendly and encouraging team.
Veterinary Surgeon,"Upper Rissington, Cheltenham",70000,70000,"Dragon Vets, Rissington","Salary up to £70,000 dependent on experience and hours","We understand that life is diverse, and so are your needs. That's why we're excited to offer flexible working hours."
Veterinary Surgeon,"Braintree, Essex",75000,75000,"Apollo Vets, Black Notley","Salary up to £75,000 depending on experience","Are you an experienced veterinary surgeon who is confident in surgery, diagnostics, and consulting? If so, we have a fantastic opportunity for you!"
Veterinary Surgeon,"High Wycombe, Buckinghamshire",68000,68000,Crossroads Veterinary Centre,"Salary up to £68,000 depending on experience","We find ourselves in need of a new team member to join our progressive, friendly, patient-focused practice."
Veterinary Surgeon,"Dundee, Dundee City",65000,65000,Blackness Veterinary Surgery,"Salary up to £65,000 depending on experience","Here at Blackness Veterinary Surgery, we are recruiting a Veterinary Surgeon to cover maternity leave."
Veterinary Surgeon,"Macmerry, Tranent",41000,41000,Animals 1st Vets,"Salary up to £41,000 depending on experience",Animals 1st are currently looking for a part-time experienced Veterinary Surgeon to cover maternity leave.
Veterinary Surgeon,"Woking, Surrey",65000,65000,"Lynton House Vets, Woking","Salary up to £65,000 depending on experience",We are looking for a Veterinary Surgeon to join our dedicated team here at Lynton House Vets.
Practice Ownership,Scunthorpe,,,Vets for Pets,Competitive Salary,At Vets for Pets we have a unique offering that makes practice ownership a reality.
Veterinary Surgeon,"Margate, Kent",75000,75000,Thanet Vets,"Salary up to £75,000 per annum depending on experience but is negotiable.",We are looking for a dedicated Veterinary Surgeon to join our team.
Part-Time Night Veterinary Surgeon,"Axminster, Devon",70000,70000,Coombefield Veterinary Hospital,"Salary up to £70,000 FTE depending on experience","Exciting opportunity to complete our night team, offering flexibility in a role while delivering high standard of emergency and critical care."
Veterinary Surgeon,"Peterborough, Cambridgeshire",65000,65000,Byre Veterinary Surgery,"Salary up to £65,000 depending on experience","Are you a seasoned veterinary professional with a passion for surgery, yet still enthusiastic about the art of consultation?"
Veterinary Surgeon,"Ealing, London (Greater)",75000,75000,"Alcombe Vets, Ealing","Salary up to £75,000 depending on experience",We have an excellent opportunity for a Veterinary Surgeon to join our growing team of four Vets at Alcombe Vets.
Veterinary Surgeon,"Oakwood, Derby",68000,68000,Scarsdale Vets - Oakwood,"Salary up to £68,000 depending on experience",The First opinion leadership team at Scarsdale Vets welcome applications from enthusiastic vet surgeons.
Veterinary Surgeon,"Hereford, Herefordshire",65000,65000,Belmont Veterinary Centre,"Salary up to £65,000 FTE depending on experience","A fantastic opportunity for a small animal, Senior Vet to join our amazing team, and support staff at our single site practice in beautiful Hereford."
Veterinary Surgeon,"North Hykeham, Lincoln",75000,75000,Park View Veterinary Hospital,"Salary up to £75,000 depending on experience plus benefits",Park View Veterinary Hospital are looking for a dedicated and enthusiastic veterinary surgeon to join our driven and progressive team.
Veterinary Surgeon,"Prenton, Merseyside",75000,75000,Wirral Vets,"Salary up to £75,000 depending on experience",An exciting opportunity has arisen for an associate veterinary surgeon to join our team here at Wirral Vets!
Veterinary Surgeon – Maternity Cover,"Thornbury, Bristol",63000,63000,Rowe Veterinary Group - Thornbury,"Salary up to £63,000 FTE depending on experience",Are you a passionate Veterinary Surgeon looking for a fulfilling part-time role? Look no further!
Veterinary Surgeon,"Barrow in Furness, Cumbria",75000,75000,"Grove Vets, Barrow-in-Furness","Salary up to £75,000 pro rata, depending on experience","An exciting opportunity has arisen for a Veterinary Surgeon to join our team here at Grove Vets, Barrow-in-Furness!"
Veterinary Surgeon,"Clitheroe, Lancashire",65000,65000,Mearley Veterinary Group,"Salary up to £65,000 pro rata, depending on experience",An exciting opportunity has arisen for a veterinary surgeon to join our team here at Mearley Veterinary Group!
Veterinary Surgeon,"King's Lynn, Norfolk",75000,75000,Mill House Veterinary Surgery & Hospital,"Salary up to £75,000 depending on experience",Mill House Veterinary Surgery and Hospital are on the lookout for a Veterinary Surgeon to join their team.
Veterinary Surgeon,"Backworth, Tyne and Wear",72000,72000,Moorview Vets,"Salary up to £72,000 depending on experience",Are you an experienced small animal vet seeking a fulfilling opportunity?
Veterinary Surgeon,"Burton-on-Trent, Staffordshire",5000,68000,"Scarsdale Veterinary Group, Stapenhill","Salary up to £68,000 dependent on experience plus up to £5,000 Relocation Allowance.",Are you ready to embark on your next veterinary adventure? Scarsdale Vets in Stapenhill are on the lookout for a dedicated veterinary surgeon.
Practice Ownership,"Sutton, London (Greater)",,,Vets for Pets,Competitive Salary,"Vets for Pets Partnership enables an affordable route to ownership, making the dream of owning your own practice more achievable than ever."
Practice Ownership,"Beckenham, London (Greater)",,,Vets for Pets,Competitive Salary,"Vets for Pets Partnership enables an affordable route to ownership, making the dream of owning your own practice more achievable than ever."
Practice Ownership,"Whetstone, London (Greater)",,,Vets for Pets,Competitive Salary,"Vets for Pets Partnership enables an affordable route to ownership, making the dream of owning your own practice more achievable than ever."
Senior Veterinary Surgeon,"Cwmbran, Torfaen (Tor-faen)",75000,75000,"Summerdale Vets, Cwmbran","Salary up to £75,000 depending on experience",Find flexible working with Summerdale Vets. We are currently looking for a Senior Veterinary Surgeon to join our friendly team in Cwmbran.
Regional Veterinary Surgeon,Lincolnshire area,75000,75000,Independent Vetcare,"Salary up to £75,000 depending on experience",An exciting opportunity has become available for a Regional Veterinary Surgeon to join our team.
Consult only Veterinary Surgeon,"Bradley Stoke, Bristol",60000,60000,Rowe Veterinary Group - Bradley Stoke,"Salary up to £60,000 (FTE) depending on experience",We are recruiting for a consult only role offering flexibility in terms of hours and shift patterns.
Veterinary Surgeon,"Oakham, Rutland",63000,63000,Oakham Veterinary Hospital,"Salary up to £63,000 pro rata, depending on experience",We have an excellent opportunity for a Small Animal Vet to join our fantastic team!
Veterinary Surgeon,"St Leonards-on-Sea, East Sussex",85000,85000,1066 Veterinary Centre,"Salary up to £85,000 depending on experience",An exciting and rare opportunity has become available for an experienced Veterinary Surgeon to complete the team at Corner House Vets!
Veterinary Surgeon,"Portchester, Fareham",75000,75000,Portchester Vets,"Salary up to £75,000 (FTE) depending on experience",We are looking for a Veterinary Surgeon to join our team at Porchester Vets. The role is a mix of consults and operating.
Veterinary Surgeon,"Kilmarnock, East Ayrshire",50000,50000,MBM Veterinary Group - Kilmarnock,"Salary up to £50,000 depending on experience",MBM Vets are currently looking for a Veterinary Surgeon to join our friendly and supportive team.
Veterinary Surgeon,"Carterton, Oxfordshire",63000,63000,Carterton Veterinary Surgery,"Salary up to £63,000 depending on experience","Due to continued growth, we are looking for a Veterinary Surgeon to join our team here at Carterton Vets."
Veterinary Surgeon,"Tadley, Hampshire",85000,85000,GP Vets Ltd,"Salary up to £85,000 depending on experience",We are looking for an enthusiastic colleague to join our friendly and supportive team in a busy small animal practice.
Weekend Veterinary Surgeon,"Derby, Derbyshire",800,800,Pride Veterinary Referrals,Salary up to £800 per day (Subject to experience) + benefits,"Weekend veterinary surgeon required at Scarsdale Vets, Pride Veterinary Centre."
Veterinary Surgeon,"Witney, Oxfordshire",65000,65000,Cogges Veterinary Surgery,"Salary up to £65,000 depending on experience","We are looking for a small animal veterinary surgeon to cover a maternity leave with our experienced, dedicated, and lovely team."
Veterinary Surgeon,"Herne Bay, Kent",75000,75000,Corner House Vets,"The salary for this role is up to £75,000 per annum depending on experience",An exciting and rare opportunity has become available for an experienced veterinary surgeon to complete our team.
Veterinary Surgeon,"Hyde, Greater Manchester",70000,70000,"White Cross Vets, Newton Hyde","Salary Up to £70,000 depending on experience",Here at White Cross Vets Hyde we are looking for a new experienced vet to complement our fantastic team.
Veterinary Surgeon,"Rubery, Birmingham",65000,65000,Clent Hills Veterinary Group Rubery,"Salary up to £65,000 depending on experience","We are looking for a Veterinary Surgeon to join our well-established practice, Client Hills, in Rubery."
Veterinary Surgeon,"Cwmbran, Torfaen (Tor-faen)",75000,75000,Wellpets Ltd,"Salary up to £75,000 depending on experience",We are looking to recruit a veterinary surgeon to join the team. We are in a fortunate position to be able to offer full or part-time rota options.
Veterinary Surgeon,"Derby, Derbyshire",75000,75000,"Easipetcare, Derby","Salary up to £75,000 depending on experience",We are currently looking for an enthusiastic veterinary surgeon to join our friendly team in Derby.
Veterinary Surgeon,"Chichester, West Sussex",63000,63000,AlphaPet Veterinary Clinic,"Salary up to £63,000 depending on experience.","This is a unique opportunity to create a career that suits your experience, preferred way of working and lifestyle."
Veterinary Surgeon,"Hailsham, East Sussex",85000,85000,"Highcroft Veterinary Group, Hailsham","Salary up to £85,000 per annum depending on experience",Are you passionate about delivering excellent clinical and client care and do you have an interest in sharing your skills with new graduates and...
Veterinary Oncologist,"Derby, Derbyshire",,,Pride Veterinary Referrals,Competitive Salary,We are looking for a specialist or residency trained oncologist to join our established team.
Veterinary Surgeon,"Sherwood, Nottingham",57000,57000,Orchard Veterinary Centre,"Salary up to £57,000 depending on experience",Are you a small animal Vet looking for a new position? Would you like to join a supportive team?
Veterinary Surgeon,"Melksham, Wiltshire",65000,65000,"Bath Veterinary Group, Chapel Surgery","Salary up to £65,000 FTE depending on experience","Here at Bath Veterinary Group, we are looking for a Veterinary Surgeon to join our team."
Veterinary Surgeon,"Southampton, Hampshire",75000,75000,Christopher Carter Veterinary Surgeons,"Salary up to £75,000 depending on experience",We are looking for an enthusiastic Veterinary Surgeon to join our dedicated team.
Veterinary Surgeon,Hampshire,63000,63000,Midforest Veterinary Practice,"Salary up to £63,000 depending on experience",We are looking for a small animal Veterinary Surgeon to work in out Totton Branch with interests in both consulting and surgery.
Veterinary Surgeon,"Potton, Sandy",63000,70000,Deepdale Veterinary Centre,"Salary from £63,000 up to £70,000 depending on experience",We are looking for a caring and experienced small animal veterinary surgeon to join our team on a permanent basis.
Veterinary Surgeon,"Swindon Bridgemead, United Kingdom",,,Vets for Pets,Competitive Salary,"""We want our team to flourish, as not only does it leave them fulfilled, but it benefits the practice and clients, too. If they have a specific nic..."
Veterinary Surgeon,"Sutton Coldfield, West Midlands",63000,63000,"The Veterinary Clinic, New Hall","Salary up to £63,000 depending on experience",Do you want no weekends or out of hours? Looking for a proper work/life balance?
Clinical Lead Veterinary Surgeon,"Wotton-Under-Edge, Gloucestershire",73000,73000,Rowe Veterinary Group - Wotton-Under-Edge,"Salary up to £73,000 depending on experience/additional qualifications",We are looking for an experienced vet who has a strong ability to lead and teach to join our fantastic team.
Practice Ownership,"Kirkstall, Leeds",,,Vets for Pets,Competitive Salary,Vets for Pets Joint Venture Partnership model is an achievable route to veterinary practice ownership.
Practice Ownership,"Runcorn, Cheshire",,,Vets for Pets,Competitive Salary,Vets for Pets Joint Venture Partnership model is an achievable route to veterinary practice ownership.
Practice Ownership,"Trafford Park, Greater Manchester",,,Vets for Pets,Competitive Salary,Owning your own veterinary practice is more achievable with Vets for Pets Joint Venture Partner model.
Practice Ownership,"Bridlington, East Riding of Yorkshire",,,Vets for Pets,Competitive Salary,Partner with Vets for Pets to own your own Veterinary Practice and have true clinical independence.
Practice Ownership,"Bramley, Leeds",,,Vets for Pets,Competitive Salary,Owning your own veterinary practice is more achievable with Vets for Pets Joint Venture Partner model.
Practice Ownership,"Bromborough, Birkenhead",,,Vets for Pets,Competitive Salary,Practice Ownership with Vets for Pets – Run your practice your way without restrictions on service and suppliers.
Practice Ownership,"Northwich, Cheshire",,,Vets for Pets,Competitive Salary,Owning your own veterinary practice is more achievable with Vets for Pets Joint Venture Partner model.
Practice Ownership,"Old Swan, Liverpool",,,Vets for Pets,Competitive Salary,Practice Ownership with Vets for Pets – Run your practice your way without restrictions on service and suppliers.
Practice Ownership,"Prescot, Merseyside",,,Vets for Pets,Competitive Salary,Owning your own veterinary practice is more achievable with Vets for Pets Joint Venture Partner model.
Veterinary Surgeon,Shropshire,55000,55000,Farm24,"Salary up to £55,000 depending on experience, plus benefits",We are looking for two out-of-hours farm veterinary surgeons who are confident in farm emergencies to kick-start the new service.
Veterinary Surgeon,"Bourne, Lincolnshire",75000,75000,Alder Veterinary Practice - Bourne,"Salary up to £75,000 depending on experience","We are looking for an enthusiastic, empathetic, and skilled veterinary surgeon to join our small yet busy team."
Veterinary Surgeon,"Blackwood, Caerphilly (Caerffili)",5000,75000,Bridge Veterinary Centre,"Salary up to £75,000 plus up to £5,000 relocation bonus plus additional benefits",We have a unique opportunity for a veterinary surgeon to join our experienced team.
Senior Veterinary Surgeon,"Haverhill, Suffolk",70000,70000,Hawkedon & Homefield Vets - Homefield,"Salary up to £70,000 depending on experience","Here at Homefield Road Vets, we are seeing a Senior Veterinary Surgeon to join our team. This role would be a mixture of surgery and consultations."
Veterinary Surgeon,"Brantham, Manningtree",65000,65000,"Highcliff Veterinary Practice, Essex","Salary up to £65,000 depending on experience","We are looking for a full time Veterinary Surgeon to join our established, friendly, supportive team."
Veterinary Surgeon,"Holbeach, Spalding",50000,50000,South Lincs Vets - Holbeach Veterinary Clinic,"Salary up to £50,000 depending on experience",We are looking for an experienced Veterinary Surgeon to join our team at South Lincs Veterinary Centre in Holbeach.
Veterinary Surgeon,"Port Talbot, Neath Port Talbot (Castell-nedd Port Talbot)",65000,65000,Forest Veterinary Group,"Salary up to £65,000 depending on experience","Come and join our friendly, dynamic team here at Forest Veterinary Group!"
Veterinary Surgeon,"Rogart, Highland",75000,75000,Rogart Vets,"Salary up to £75,000 depending on experience","Rogart Vets in Sutherland, Scotland are looking for a mixed Veterinary Surgeon to join our Vet Team."
Veterinary Surgeon,"Sutterton, Boston",80000,80000,South Lincs Veterinary Group,"Salary up to £80,000 depending on experience","We have an exciting opportunity due to expansion, for an experienced Veterinary Surgeon to join our team here at South Lincs Vet Group."
Veterinary Surgeon,"Manchester, Greater Manchester",70000,70000,Mount Road Vets,"Salary up to £70,000 FTE depending on experience",An exciting opportunity has arisen for a Senior Veterinary Surgeon to join our team here at Mount Road Vets!
Veterinary Surgeon,"Portlethen, Aberdeen",65000,65000,Bridge Vets,"Salary up to £65,000 depending on experience",Bridge Vets are looking for an experienced Veterinary Surgeon to join their fantastic team!
Small Animal Vet (2 weeks on 2 week off days),Isle of Wight,34000,60000,Medina,"Salary of £34,000 to £60,000 depending on experience","Flexible Veterinary Surgeon opportunity available working on the Isle of Wight for 2 weeks, then have 2 weeks off, visa sponsorship fully funded."
Head Veterinary Surgeon,"Hove, UK",54600,80000,Southdown Veterinary Group,"Salary of £54,600 to £80,000 per annum depending on experience",We are looking for a new Head Veterinary Surgeon to join our team here at Southdown Vets. This is a full-time position supporting two Southdown sites.
Veterinary Surgeon,"Rossett, Wrexham",65000,65000,"Gatehouse Veterinary Centre, Lavister","Salary up to £65,000 depending on experience (pro rata for part time)",Gatehouse Veterinary Centre are looking for a Veterinary Surgeon to join our team. We offer flexible working patterns.
Veterinary Surgeon,"Sheerness, Kent",60000,60000,Wellpets - Sheerness,"Salary up to £60,000 depending on experience",Are you a passionate and caring Vet looking for an exciting opportunity in a thriving practice?
Veterinary Surgeon,"Invergordon, Highland",75000,75000,Easter Ross Vets,"Salary up to £75,000 depending on experience","Easter Ross Vets, Invergordon are looking for a small animal only vet surgeon to join their team."
Veterinary Surgeon,"Rugby, Warwickshire",75000,75000,Bilton Veterinary Centre Ltd,"Salary up to £75,000 depending on experience","Here at Bilton Veterinary Centre, we are looking for a Veterinary Surgeon to join our team!"
Lead Veterinary Surgeon,"Morley, Leeds",75000,75000,"Yorkshire Vets, Morley","Salary up to £75,000 depending on experience",Are you a passionate and experienced veterinary surgeon looking for an exciting opportunity to advance your career? Look no further!
Veterinary Surgeon,"Chatham, Kent",75000,75000,"Easipetcare, Chatham","Salary up to £75,000 per annum depending on experience",We have a great opportunity for a veterinary surgeon to join our Chatham practice.
Veterinary Surgeon,"Purton, Swindon",68000,68000,Purton Vets,"Salary up to £68,000 FTE depending on experience",We’re on the hunt for a Vet with experience in small animal practice to join our talented team on a part-time basis.
Veterinary Surgeon,"Cheltenham, Gloucestershire",75000,75000,Dragon Vets,"Salary up to £75,000 depending on experience",We are seeking an experienced vet to join our growing practice in Cheltenham. Now’s your chance to be part of our friendly and supportive team!
Veterinary Surgeon,"Maids Moreton, Buckingham",75000,75000,The Vet Centre Ltd,"Salary up to £75,000 depending on experience",An opportunity not to be missed at The Vet Centre Maids Moreton! This is rare chance to further your career.
Roving Veterinary Surgeon,"Usk, Monmouthshire (Sir Fynwy)",75000,75000,Usk Vets,"Salary up to £75,000 depending on experience",We are excited to be looking for a Roving Veterinary Surgeon to cover IVC Evidensia practices in the Southwest region.
Roving Veterinary Surgeon,"Whitchurch, Cardiff",75000,75000,"Dr Doolittle's, Whitchurch","Salary up to £75,000 depending on experience",We are excited to be looking for a Roving Veterinary Surgeon to cover IVC Evidensia practices in the Southwest region.
Veterinary Surgeon,"Thornton-Cleveleys, Lancashire",70000,70000,Moy Vets,"Salary up to £70,000 depending on experience","Are you looking to progress, follow your interests and develop your skills with the support of a friendly, experienced team?"
Veterinary Surgeon,"Barnet (City/Town), London (Greater)",75000,75000,Wood Street Veterinary Hospital,"Salary up to £75,000 depending on experience",Wood Street Veterinary Group are looking for a dedicated and committed Veterinary Surgeon to join the team.
Veterinary Surgeon,"Faversham, Kent",63000,63000,Lady Dane Veterinary Centre,"Salary up to £63,000 per annum depending on experience","We are a RCVS accredited practice, looking for an enthusiastic and passionate small animal veterinary surgeon to join our team."
OOH Small Animal Vet,"Wokingham, UK",65000,65000,Nine Mile Veterinary Group,"Salary up to £65,000 FTE depending on experience",Do you want to work in a fully equipped practice? Looking for a practice that supports your CPD?
Veterinary Surgeon,"Wokingham, UK",60000,60000,Nine Mile Veterinary Group,"Salary up to £60,000 depending on experience",Are you a skilled and dedicated Small Animal Vet? Do you have a passion for providing exceptional care to animals?
Veterinary Surgeon,"Chirk, Wrexham",50000,50000,"Brownlow Veterinary Group, Castle Veterinary Centre","Salary up to £50,000 depending on experience",Are you an experienced vet who is passionate about small animal care? Are you ready to join our close-knit team in a charming North Wales village?
Veterinary Surgeon,"Sturminster Newton, Dorset",80000,80000,Friars Moor Veterinary Clinic,"Salary up to £80,000 depending on experience","We are offering an opportunity for an experienced, passionate small animal vet, to join our proudly independent practice."
Veterinary Surgeon,Caerphilly (Caerffili),75000,75000,"Summerhill Vets, Summercourt Vets","Salary up to £75,000 depending on experience",We are looking for a full-time Veterinary Surgeon to join our Summercourt clinic (part of Summerhill group) in the heart of the Caerphilly community.
Veterinary Surgeon,"Cookridge, Leeds",75000,75000,Towerwood Vets,"Salary up to £75,000 pro rata depending on experience","We have an exciting opportunity for a Veterinary Surgeon to join us at Towerwood Vets in Cookridge, West Yorkshire."
Veterinary Surgeon,"Lewes, East Sussex",70000,70000,Cliffe Vets,"Salary for the role is up to £70,000 per annum depending on experience",Cliffe Vets has an exciting opportunity for a Small Animal Veterinary Surgeon to join their longstanding and established team.
Veterinary Surgeon,Edenbridge,50000,60000,Portland Vets,"Salary from £50,000 to £60,000 FTE",Portland Vets are looking for a new colleague to become a lead vet at our Edenbridge practice.
Veterinary Surgeon,"Hay-on-Wye, Hereford",65000,65000,Hay Veterinary Group,"Salary up to £65,000 depending on experience","We are looking for a Small Animal Vet to join our friendly, caring team in the beautiful market town of Hay-on-Wye."
Veterinary Surgeon,"Haworth, Keighley",70000,70000,"Gatehouse Veterinary Group, Haworth","Salary up to £70,000 depending on experience","We’re looking for a Veterinary Surgeon to work between all three of our sites, you’ll be spending most of your time at our Haworth branch."
Veterinary Surgeon,"Stafford, Staffordshire",65000,65000,The Island Veterinary Associates,"Salary up to £65,000 depending on experience",There’s no better time to join our friendly team! Island Veterinary Associates are looking for a dedicated GP Vet to join their team.
Veterinary Surgeon,"Boroughbridge, York",65000,65000,"Rae, Bean and Partners","Salary up to £65,000 depending on experience",Rae Bean and Partners welcomes an experienced Veterinary Surgeon to our thriving small animal first opinion clinic.
Lead OOH Veterinary Surgeon,"Canterbury, Kent",,,Barton Veterinary Hospital & Surgery,"Excellent, highly competitive salary","Are you looking for a role that will give you a fantastic work-life balance, whilst also being clinically fulfilling?"
Hybrid Veterinary Surgeon,"Southampton, Hampshire",77000,77000,Seadown Veterinary Hospital,"Salary up to £77,000 per annum, depending on experience",Do you enjoy travelling or have things in your life that need time to do? Are you looking for a structured work pattern that...
Veterinary Surgeon,"East Bridgford, Nottingham",65000,65000,Buttercross Veterinary Centre,"Salary up to £65,000 depending on experience",Time for a change? We are looking for a Veterinary Surgeon to join our experienced and relaxed team here at Buttercross Vets!
Veterinary Surgeon,"Seaford, UK",80000,80000,Pet Doctors (Seaford),"Salary up to £80,000 depending on experience","In your new role, you will be supported to be the Vet you want to be and we are excited to start creating a..."
Veterinary Surgeon,"Edinburgh, City of Edinburgh",55000,55000,West End Vets,"Salary up to £55,000 depending on experience","Are you a Vet looking for your next new venture? Keen to work in a practice which offers a friendly, caring and supportive working environment?"
Veterinary Surgeon,"Blackwood, Caerphilly (Caerffili)",65000,65000,South Wales Vets - Blackwood,"Salary up to £65,000 depending on experience","Here at South Wales Vets, Blackwood, we are looking for a Veterinary Surgeon to join our experienced team."
Veterinary Surgeon,"Southampton, Hampshire",75000,75000,Heathside Veterinary Surgery,"Salary up to £75,000 depending on experience","Do you want to join a fantastic team dedicated to providing the best patient care, using the latest diagnostic, and monitoring equipment?"
Veterinary Surgeon,"Herne Bay, Kent",75000,75000,Corner House Vets,"Salary up to £75,000 depending on experience",An exciting and rare opportunity has become available for an experienced Veterinary Surgeon to complete the team at Corner House Vets!
Veterinary Surgeon,"Thurston, Bury St Edmunds",75000,75000,Thurston Veterinary Centre,"Salary up to £75,000 depending on experience",We are looking for an experienced small animal Veterinary Surgeon to join our team.
Veterinary Surgeon,"Chelmsford, Essex",60000,60000,Spring Lodge Veterinary Group - Broomfield Road,"Salary up to £60,000 depending on experience",A rare and exciting opportunity has become available for an experienced Vet with excellent GP Vet skills to join us on a permanent basis.
Veterinary Surgeon,"Thrapston, Kettering",63000,63000,Lakeview Veterinary Centre,"Salary up to £63,000 depending on experience","At Lakeview Veterinary Centre, we are looking for a motivated and driven Veterinary Surgeon who shares our values for quality first opinion care."
Head Veterinary Surgeon,"Bournemouth, Dorset",70000,70000,Stokewood Vets,"Salary up to £70,000 depending on experience plus benefits",Are you a passionate and dedicated vet with a strong interest in leading a fantastic team alongside our Practice Director?
Out of Hours Veterinary Surgeon,"Exeter, UK",74000,74000,St David's Veterinary Hospital,"Salary up to £74,000 FTE depending on experience",Looking for an Exciting out-of-hours role within a friendly and supportive team?
Veterinary Surgeon,"Kilwinning, North Ayrshire",68000,68000,"Ivybank Vets, Kilwinning","Salary up to £68,000 FTE depending on experience","Here at Ivybank Vets, we are looking for a professional and dedicated Veterinary Surgeon to join our team."
Veterinary Surgeon,"Holywell, Flintshire (Sir y Fflint)",70000,70000,Celyn Vet Group - Holywell,"Salary up to £70,000 depending on experience","Calling all dedicated Veterinary Surgeons! If you are looking for a varied role, working alongside a supportive team then read below."
Veterinary Surgeon,"Clifton, Bristol",75000,75000,Clifton Veterinary Practice,"Salary up to £75,000 depending on experience, pro rata plus benefits",We have an exciting opportunity for a Small Animal Veterinary Surgeon to join our friendly team at Clifton Vets.
Referral Clinician - Anaesthesia,"Derby, Derbyshire",,,Pride Veterinary Referrals,Competitive Salary,"If you are passionate about delivering high-quality anaesthesia care in a collaborative and supportive environment, then this is the role for you."
Veterinary Surgeon,"Blackheath near Halesowen, Birmingham",70000,70000,Blackheath Veterinary Centre,"Salary up to £70,000 FTE depending on experience",Are you a passionate vet who really cares about their patients and clients and wants to be part of something special?
Veterinary Surgeon,"Sidmouth, Devon",65000,65000,Otter Vets,"Salary up to £65,000 depending on experience",We are looking for a Mixed Veterinary Surgeon to join our team at Otter Vets.
Veterinary Surgeon,Edinburgh,60000,60000,Batchelor Davidson & Watson,"Salary up to £60,000 depending on experience","Are you looking for a role with a good work/life balance, with no OOH's? The opportunity to work with an experienced team who pull together..."
